fare_id,price,currency_type,payment_method,transfers
03-44,10.90,CAD,1,
03-45,11.70,CAD,1,
03-46,12.90,CAD,1,
03-51,12.60,CAD,1,
03-52,13.55,CAD,1,
03-53,14.90,CAD,1,
03-54,16.00,CAD,1,
03-55,17.15,CAD,1,
03-56,6.60,CAD,1,
03-57,8.00,CAD,1,
03-58,8.35,CAD,1,
03-60,8.25,CAD,1,
03-61,8.30,CAD,1,
03-62,9.20,CAD,1,
03-63,10.20,CAD,1,
03-64,10.65,CAD,1,
03-65,11.70,CAD,1,
03-66,12.90,CAD,1,
03-67,13.45,CAD,1,
03-68,14.30,CAD,1,
03-69,14.85,CAD,1,
03-70,10.85,CAD,1,
03-71,11.05,CAD,1,
03-72,11.20,CAD,1,
03-73,11.70,CAD,1,
03-74,12.55,CAD,1,
03-75,13.45,CAD,1,
03-76,14.05,CAD,1,
03-77,8.20,CAD,1,
03-80,11.25,CAD,1,
03-81,13.15,CAD,1,
03-82,13.80,CAD,1,
03-83,16.00,CAD,1,
03-84,17.90,CAD,1,
03-85,15.10,CAD,1,
03-86,13.00,CAD,1,
03-87,14.05,CAD,1,
03-88,13.05,CAD,1,
03-89,12.15,CAD,1,
03-90,12.05,CAD,1,
03-91,10.30,CAD,1,
03-92,10.95,CAD,1,
03-93,11.65,CAD,1,
03-94,12.30,CAD,1,
03-95,12.85,CAD,1,
03-96,13.35,CAD,1,
03-97,14.10,CAD,1,
04-01,5.30,CAD,1,
04-02,5.65,CAD,1,
04-03,5.30,CAD,1,
04-04,5.30,CAD,1,
04-05,5.65,CAD,1,
04-06,8.35,CAD,1,
04-07,6.85,CAD,1,
04-08,8.30,CAD,1,
04-09,8.35,CAD,1,
04-11,6.40,CAD,1,
04-12,7.20,CAD,1,
04-13,8.25,CAD,1,
04-14,9.10,CAD,1,
04-15,10.30,CAD,1,
04-16,10.55,CAD,1,
04-17,11.30,CAD,1,
04-18,11.75,CAD,1,
04-19,5.65,CAD,1,
04-20,6.40,CAD,1,
04-21,7.20,CAD,1,
04-22,7.30,CAD,1,
04-23,7.95,CAD,1,
04-24,9.05,CAD,1,
04-26,14.65,CAD,1,
04-27,15.80,CAD,1,
04-28,14.90,CAD,1,
04-29,16.80,CAD,1,
04-30,19.95,CAD,1,
04-31,5.30,CAD,1,
04-32,6.75,CAD,1,
04-33,7.75,CAD,1,
04-34,8.55,CAD,1,
04-35,9.80,CAD,1,
04-37,11.25,CAD,1,
04-38,12.30,CAD,1,
04-39,13.00,CAD,1,
04-41,8.90,CAD,1,
04-42,10.45,CAD,1,
04-43,10.95,CAD,1,
04-44,10.15,CAD,1,
04-45,10.90,CAD,1,
04-46,12.10,CAD,1,
04-51,11.80,CAD,1,
04-52,12.75,CAD,1,
04-53,14.10,CAD,1,
04-54,15.25,CAD,1,
04-55,16.35,CAD,1,
04-56,5.30,CAD,1,
04-57,6.75,CAD,1,
04-58,7.20,CAD,1,
04-60,7.15,CAD,1,
04-61,7.25,CAD,1,
04-62,8.30,CAD,1,
04-63,9.05,CAD,1,
04-64,9.90,CAD,1,
04-65,10.90,CAD,1,
04-66,12.10,CAD,1,
04-67,12.70,CAD,1,
04-68,13.55,CAD,1,
04-69,14.05,CAD,1,
04-70,10.90,CAD,1,
04-71,11.10,CAD,1,
04-72,11.25,CAD,1,
04-73,11.75,CAD,1,
04-74,12.60,CAD,1,
04-75,13.50,CAD,1,
04-76,14.10,CAD,1,
04-77,6.85,CAD,1,
04-80,11.75,CAD,1,
04-81,13.65,CAD,1,
04-82,14.30,CAD,1,
04-83,16.50,CAD,1,
04-84,18.40,CAD,1,
04-85,15.60,CAD,1,
04-86,11.80,CAD,1,
04-87,11.85,CAD,1,
04-88,12.25,CAD,1,
04-89,9.05,CAD,1,
04-90,9.10,CAD,1,
04-91,9.20,CAD,1,
04-92,10.15,CAD,1,
04-93,10.85,CAD,1,
04-94,11.55,CAD,1,
04-95,12.05,CAD,1,
04-96,12.55,CAD,1,
04-97,13.30,CAD,1,
05-01,5.65,CAD,1,
05-02,5.65,CAD,1,
05-03,6.65,CAD,1,
05-04,5.65,CAD,1,
05-05,5.30,CAD,1,
05-06,6.80,CAD,1,
05-07,5.30,CAD,1,
05-08,6.75,CAD,1,
05-09,6.80,CAD,1,
05-11,7.85,CAD,1,
05-12,8.75,CAD,1,
05-13,9.80,CAD,1,
05-14,10.70,CAD,1,
05-15,11.60,CAD,1,
05-16,11.90,CAD,1,
05-17,12.10,CAD,1,
05-18,12.50,CAD,1,
05-19,5.30,CAD,1,
05-20,7.85,CAD,1,
05-21,8.00,CAD,1,
05-22,8.05,CAD,1,
05-23,8.35,CAD,1,
05-24,10.65,CAD,1,
05-26,15.90,CAD,1,
05-27,17.00,CAD,1,
05-28,13.80,CAD,1,
05-29,15.70,CAD,1,
05-30,18.85,CAD,1,
05-31,6.40,CAD,1,
05-32,7.85,CAD,1,
05-33,8.95,CAD,1,
05-34,10.20,CAD,1,
05-35,11.05,CAD,1,
05-37,12.50,CAD,1,
05-38,13.55,CAD,1,
05-39,14.20,CAD,1,
05-41,10.45,CAD,1,
05-42,11.70,CAD,1,
05-43,12.20,CAD,1,
05-44,8.60,CAD,1,
05-45,9.80,CAD,1,
05-46,11.00,CAD,1,
05-51,10.70,CAD,1,
